1  0.  5.8  3.46  2.6  1264.  600.
2  20.  5.8  3.46  2.6  1264.  600.
3  20.  6.5  3.85  2.9  1283.  600.
4  35.  6.5  3.85  2.9  1283.  600.
5  35.  8.04  4.48  3.58  1449.  600.
6  77.5  8.045  4.49  3.5  1445.  600.
7  77.5  8.045  4.49  3.5  180.6  75.
8  120.  8.05  4.5  3.427  180.  75.
9  120.  8.05  4.5  3.427  182.6  76.06
10  165.  8.175  4.509  3.371  188.7  76.55
11  210.  8.301  4.518  3.324  201.  79.4
12  210.  8.3  4.519  3.323  338.2  133.7
13  300.  8.628  4.679  3.401  353.6  138.7
14  410.  9.03  4.87  3.506  377.5  146.5
15  410.  9.36  5.08  3.929  414.1  162.7
16  660.  10.2  5.611  3.918  428.5  172.9
17  660.  10.79  5.965  4.24  1349.  549.5
18  764.  11.07  6.215  4.359  1276.  537.1
19  849.1  11.21  6.272  4.463  1263.  527.3
20  1038.  11.52  6.407  4.616  1230.  506.9
21  1227.  11.81  6.527  4.71  1198.  488.
22  1416.  12.08  6.636  4.812  1168.  470.4
23  1605.  12.33  6.735  4.909  1141.  454.4
24  1795.  12.55  6.827  5.004  1111.  437.7
25  1984.  12.78  6.913  5.096  1065.  415.6
26  2173.  13.  6.997  5.186  1037.  400.6
27  2362.  13.21  7.079  5.273  995.4  381.2
28  2551.  13.43  7.162  5.357  968.1  367.3
29  2740.  13.65  7.248  5.439  932.5  350.6
30  2740.  13.65  7.248  5.693  722.7  271.7
31  2790.  13.65  7.259  5.72  726.9  274.
32  2839.  13.66  7.27  5.746  725.1  274.
33  2892.  13.66  7.282  5.772  723.1  274.
34  2892.  7.972  0.  9.928  5.782E+04  0.
35  3344.  8.744  0.  10.59  5.782E+04  0.
36  3797.  9.338  0.  11.12  5.782E+04  0.
37  4249.  9.759  0.  11.55  5.782E+04  0.
38  4702.  10.09  0.  11.88  5.782E+04  0.
39  5154.  10.32  0.  12.14  5.782E+04  0.
40  5154.  11.04  3.505  12.7  632.8  85.03
41  5397.  11.12  3.567  12.82  619.2  85.03
42  5884.  11.23  3.647  12.97  605.  85.03
43  6371.  11.27  3.672  13.02  600.6  85.03
